"age.in.dpc" "weight.in.log" "litter"
13 4.44265125649032 "FX"
13 4.45434729625351 "FX"
13 4.46590811865458 "FX"
13 4.49980967033027 "FX"
13 4.51085950651685 "FX"
13 4.60517018598809 "FX"
13 4.62497281328427 "FX"
13 4.65396035015752 "FX"
13 4.68213122712422 "FX"
13 4.74493212836325 "FX"
13.5 4.82028156560504 "FA"
13.5 4.8283137373023 "FA"
13.5 4.84418708645859 "FA"
13.5 4.85203026391962 "FA"
13.5 4.87519732320115 "FA"
13.5 4.96284463025991 "FA"
13.5 4.98360662170834 "FA"
13.5 4.44265125649032 "FK"
13.5 4.47733681447821 "FK"
13.5 4.53259949315326 "FK"
13.5 4.54329478227 "FK"
13.5 4.55387689160054 "FK"
13.5 4.61512051684126 "FK"
13.5 4.65396035015752 "FK"
13.5 4.66343909411207 "FK"
13.5 4.21950770517611 "FM"
13.5 4.49980967033027 "FM"
13.5 4.57471097850338 "FM"
13.5 4.30406509320417 "FN"
13.5 4.44265125649032 "FN"
13.5 4.51085950651685 "FN"
13.5 4.78749174278205 "FT"
13.5 4.86753445045558 "FT"
13.5 4.87519732320115 "FT"
13.5 4.89034912822175 "FT"
13.5 4.91265488573605 "FT"
13.5 4.93447393313069 "FT"
13.5 4.91998092582813 "FT"
13.5 4.74493212836325 "FU"
13.5 4.85203026391962 "FU"
13.5 4.85981240436167 "FU"
13.5 4.89034912822175 "FU"
13.5 4.89783979995091 "FU"
13.5 4.91265488573605 "FU"
13.5 4.96284463025991 "FU"
13.5 4.71849887129509 "FV"
13.5 4.76217393479776 "FV"
13.5 4.83628190695148 "FV"
13.5 4.84418708645859 "FV"
13.5 4.88280192258637 "FV"
13.5 4.90527477843843 "FV"
13.5 4.91998092582813 "FV"
13.5 4.92725368515721 "FV"
13.5 4.83628190695148 "FY"
13.5 4.90527477843843 "FY"
13.5 4.91265488573605 "FY"
13.5 4.93447393313069 "FY"
13.5 4.969813299576 "FY"
13.5 4.97673374242057 "FY"
13.5 5.01727983681492 "FY"
13.5 5.03695260241363 "FY"
14 4.70953020131233 "FAB"
14 4.80402104473326 "FAB"
14 4.87519732320115 "FAB"
14 4.88280192258637 "FAB"
14 4.93447393313069 "FAB"
14 4.99721227376411 "FAB"
14 5.01063529409626 "FAB"
14 5.03695260241363 "FAB"
14 5.04342511691925 "FAB"
14 5.11799381241676 "FAB"
14 5.46383180502561 "FAM"
14 5.52545293913178 "FAM"
14 5.56452040732269 "FAM"
14 5.5683445037611 "FAM"
14 4.85981240436167 "FAP"
14 4.969813299576 "FAP"
14 4.98360662170834 "FAP"
14 4.99043258677874 "FAP"
14 5.01727983681492 "FAP"
14 5.07517381523383 "FAP"
14 5.08759633523238 "FAP"
14 5.09375020080676 "FAP"
14 5.12989871492307 "FAP"
14 4.97673374242057 "FAQ"
14 5.01063529409626 "FAQ"
14 5.04342511691925 "FAQ"
14 5.06890420222023 "FAQ"
14 5.09375020080676 "FAQ"
14 5.11799381241676 "FAQ"
14 5.15905529921453 "FAQ"
14 5.16478597392351 "FAQ"
14 5.14166355650266 "FB"
14 5.16478597392351 "FB"
14 5.17614973257383 "FB"
14 5.18178355029209 "FB"
14 5.18178355029209 "FB"
14 5.09375020080676 "FB"
14 5.09375020080676 "FB"
14 5.10594547390058 "FB"
14 5.11799381241676 "FB"
14 5.01063529409626 "FB"
14 4.86753445045558 "FJ"
14 4.89034912822175 "FJ"
14 4.94875989037817 "FJ"
14 4.99721227376411 "FJ"
14 5.02388052084628 "FJ"
14 5.06890420222023 "FJ"
14.5 5.5683445037611 "FAE"
14.5 5.65948221575962 "FAE"
14.5 5.66296048013595 "FAE"
14.5 5.75257263882563 "FAE"
14.5 5.75574221358691 "FAE"
14.5 5.77765232322266 "FAE"
14.5 5.79301360838414 "FAE"
14.5 5.80814248998044 "FAE"
14.5 5.65248918026865 "FAS"
14.5 5.8636311755981 "FAS"
14.5 5.89440283426485 "FAS"
14.5 5.65248918026865 "FAS"
14.5 5.8636311755981 "FAS"
14.5 5.89440283426485 "FAS"
14.5 5.46383180502561 "FAT"
14.5 5.46383180502561 "FAT"
14.5 5.52545293913178 "FAT"
14.5 5.56452040732269 "FAT"
14.5 5.57215403217776 "FAT"
14.5 5.8348107370626 "FAU"
14.5 5.8664680569333 "FAU"
14.5 5.91079664404053 "FAU"
14.5 5.92157841964382 "FAU"
14.5 5.96614673912369 "FAU"
14.5 5.98393628068719 "FAU"
14.5 5.98645200528444 "FAU"
14.5 6.00881318544259 "FAU"
14.5 6.01126717440416 "FAU"
14.5 5.8664680569333 "FAU"
14.5 5.18178355029209 "FC"
14.5 5.26269018890489 "FC"
14.5 5.28320372873799 "FC"
14.5 5.29330482472449 "FC"
14.5 5.29831736654804 "FC"
14.5 5.31811999384422 "FC"
14.5 5.33271879326537 "FC"
14.5 5.37989735354046 "FC"
14.5 5.40717177146012 "FC"
14.5 5.04342511691925 "FL"
14.5 5.26269018890489 "FL"
14.5 5.30330490805908 "FL"
14.5 5.35185813347607 "FL"
14.5 5.39816270151775 "FL"
14.5 5.47227067367148 "FL"
14.5 5.50533153593236 "FL"
14.5 4.8283137373023 "FO"
14.5 4.92725368515721 "FO"
14.5 5.10594547390058 "FO"
14.5 5.13579843705026 "FO"
14.5 4.92725368515721 "FO"
14.5 5.10594547390058 "FO"
14.5 5.13579843705026 "FO"
14.5 5.27299955856375 "FP"
14.5 5.27811465923052 "FP"
14.5 5.28320372873799 "FP"
14.5 5.28826703069454 "FP"
14.5 5.29330482472449 "FP"
14.5 5.29831736654804 "FP"
14.5 5.32300997913841 "FP"
14.5 5.34710753071747 "FP"
14.5 5.37063802812766 "FP"
14.5 5.40717177146012 "FP"
14.5 4.92725368515721 "FQ"
14.5 5.11799381241676 "FQ"
14.5 5.18738580584075 "FQ"
14.5 5.20948615284142 "FQ"
14.5 5.21493575760899 "FQ"
14.5 5.22035582507832 "FQ"
14.5 5.23644196282995 "FQ"
14.5 5.24174701505964 "FQ"
14.5 5.32300997913841 "FQ"
14.5 5.40717177146012 "FQ"
14.5 5.08140436498446 "FR"
14.5 5.08759633523238 "FR"
14.5 5.09375020080676 "FR"
14.5 5.23110861685459 "FR"
14.5 5.24174701505964 "FR"
14.5 5.27299955856375 "FR"
14.5 5.28826703069454 "FR"
14.5 5.29831736654804 "FR"
14.5 5.80513496891649 "FS"
14.5 5.82600010738045 "FS"
14.5 5.8406416573734 "FS"
14.5 5.8664680569333 "FS"
14.5 5.87493073085203 "FS"
14.5 5.88332238848828 "FS"
14.5 5.89989735358249 "FS"
14.5 5.92157841964382 "FS"
14.5 5.66988092298052 "FW"
14.5 5.73657229747919 "FW"
14.5 5.73979291217923 "FW"
14.5 5.74939298590825 "FW"
14.5 5.78382518232974 "FW"
14.5 5.79605775076537 "FW"
14.5 5.82600010738045 "FW"
14.5 5.82894561761021 "FW"
