"age.in.dpc" "weight.in.log" "litter"
12.5 4.20469261939097 "DA"
12.5 4.4188406077966 "DA"
13.5 4.64439089914137 "DAI"
13.5 4.70048036579242 "DAI"
13.5 4.70953020131233 "DAI"
13.5 4.7361984483945 "DAI"
13.5 4.77068462446567 "DAI"
13.5 4.77912349311153 "DAI"
13.5 4.78749174278205 "DAI"
13.5 4.82028156560504 "DAI"
13.5 4.85981240436167 "DAI"
13.5 4.88280192258637 "DAI"
13.5 4.62497281328427 "DB"
13.5 4.64439089914137 "DB"
13.5 4.70953020131233 "DB"
13.5 4.74493212836325 "DB"
13.5 4.76217393479776 "DB"
13.5 4.81218435537242 "DB"
13.5 4.82028156560504 "DB"
13.5 4.85981240436167 "DB"
13.5 4.86753445045558 "DB"
13.5 4.90527477843843 "DB"
13.5 4.969813299576 "DB"
13.5 4.969813299576 "DB"
13.5 5.03695260241363 "DB"
13.5 5.04985600724954 "DB"
13.5 5.10594547390058 "DB"
13.5 4.21950770517611 "DC"
13.5 4.23410650459726 "DC"
13.5 4.27666611901606 "DC"
13.5 4.48863636973214 "DC"
13.5 4.51085950651685 "DC"
13.5 4.53259949315326 "DC"
13.5 4.54329478227 "DC"
13.5 4.55387689160054 "DC"
13.5 4.70953020131233 "DC"
13.5 4.35670882668959 "DC"
13.5 4.20469261939097 "DQ"
13.5 4.39444915467244 "DQ"
13.5 4.51085950651685 "DQ"
13.5 4.61512051684126 "DQ"
13.5 4.64439089914137 "DQ"
13.5 4.68213122712422 "DQ"
13.5 4.72738781871234 "DQ"
13.5 4.58496747867057 "DQ"
13.5 4.47733681447821 "DZ"
13.5 4.59511985013459 "DZ"
13.5 4.67282883446191 "DZ"
13.5 4.69134788222914 "DZ"
13.5 4.70048036579242 "DZ"
13.5 4.70953020131233 "DZ"
13.5 4.71849887129509 "DZ"
13.5 4.7361984483945 "DZ"
13.5 4.79579054559674 "DZ"
13.5 4.90527477843843 "DZ"
14 4.36944785246702 "DAA"
14 4.80402104473326 "DAA"
14 4.8283137373023 "DAA"
14 4.83628190695148 "DAA"
14 4.94875989037817 "DAA"
14 4.95582705760126 "DAA"
14 5.17614973257383 "DAA"
14 4.23410650459726 "DD"
14 4.53259949315326 "DD"
14 4.61512051684126 "DD"
14 4.58496747867057 "DD"
14 4.75359019110636 "DD"
14 4.85203026391962 "DD"
14 4.85203026391962 "DD"
14 4.94875989037817 "DD"
14 4.23410650459726 "DE"
14 4.52178857704904 "DE"
14 4.969813299576 "DE"
14 5.01063529409626 "DE"
14 5.01063529409626 "DE"
